fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,quality_binary,quality_label
6.60,0.71,0.07,1.60,0.0760,6.00,15.00,0.9962,3.44,0.58,10.70,5,0,0
9.30,0.32,0.57,2.00,0.0740,27.00,65.00,0.9969,3.28,0.79,10.70,5,0,0
8.00,0.71,0.05,1.90,0.0740,8.00,19.00,0.9962,3.34,0.95,10.50,6,1,1
7.70,0.63,0.08,1.90,0.0760,15.00,27.00,0.9967,3.32,0.54,9.50,6,1,1
7.70,0.67,0.23,2.10,0.0880,17.00,96.00,0.9962,3.32,0.48,9.50,5,0,0
7.70,0.69,0.22,1.90,0.0840,18.00,94.00,0.9961,3.31,0.48,9.50,5,0,0
8.30,0.68,0.26,2.10,0.0840,11.00,43.00,0.9976,3.31,0.53,9.20,4,0,0
9.70,0.32,0.54,2.50,0.0940,28.00,83.00,0.9984,3.28,0.82,9.60,5,0,0
8.80,0.41,0.64,2.20,0.0930,9.00,42.00,0.9986,3.54,0.66,10.50,5,0,0
8.80,0.41,0.64,2.20,0.0930,9.00,42.00,0.9986,3.54,0.66,10.50,5,0,0
6.80,0.79,0.00,2.40,0.1040,14.00,30.00,0.9966,3.52,0.55,10.70,6,1,1
6.70,0.75,0.12,2.00,0.0860,12.00,80.00,0.9958,3.38,0.52,10.10,5,0,0
8.30,0.63,0.20,1.50,0.0800,27.00,119.00,0.9972,3.16,1.12,9.10,4,0,0
6.20,0.45,0.20,1.60,0.0690,3.00,15.00,0.9958,3.41,0.56,9.20,5,0,0
7.80,0.43,0.70,1.90,0.4640,22.00,67.00,0.9974,3.13,1.28,9.40,5,0,0
7.40,0.50,0.47,2.00,0.0860,21.00,73.00,0.9970,3.36,0.57,9.10,5,0,0
7.30,0.67,0.26,1.80,0.4010,16.00,51.00,0.9969,3.16,1.14,9.40,5,0,0
6.30,0.30,0.48,1.80,0.0690,18.00,61.00,0.9959,3.44,0.78,10.30,6,1,1
6.90,0.55,0.15,2.20,0.0760,19.00,40.00,0.9961,3.41,0.59,10.10,5,0,0
8.60,0.49,0.28,1.90,0.1100,20.00,136.00,0.9972,2.93,1.95,9.90,6,1,1
7.70,0.49,0.26,1.90,0.0620,9.00,31.00,0.9966,3.39,0.64,9.60,5,0,0
9.30,0.39,0.44,2.10,0.1070,34.00,125.00,0.9978,3.14,1.22,9.50,5,0,0
7.00,0.62,0.08,1.80,0.0760,8.00,24.00,0.9978,3.48,0.53,9.00,5,0,0
7.90,0.52,0.26,1.90,0.0790,42.00,140.00,0.9964,3.23,0.54,9.50,5,0,0
8.60,0.49,0.28,1.90,0.1100,20.00,136.00,0.9972,2.93,1.95,9.90,6,1,1
8.60,0.49,0.29,2.00,0.1100,19.00,133.00,0.9972,2.93,1.98,9.80,5,0,0
7.70,0.49,0.26,1.90,0.0620,9.00,31.00,0.9966,3.39,0.64,9.60,5,0,0
5.00,1.02,0.04,1.40,0.0450,41.00,85.00,0.9938,3.75,0.48,10.50,4,0,0
4.70,0.60,0.17,2.30,0.0580,17.00,106.00,0.9932,3.85,0.60,12.90,6,1,1
6.80,0.78,0.00,3.00,0.1020,8.00,23.00,0.9965,3.45,0.56,10.70,5,0,0
7.00,0.50,0.25,2.00,0.0700,3.00,22.00,0.9963,3.25,0.63,9.20,5,0,0
7.60,0.90,0.06,2.50,0.0790,5.00,10.00,0.9967,3.39,0.56,9.80,5,0,0
8.10,0.55,0.18,1.90,0.0800,13.00,35.00,0.9972,3.30,0.59,9.00,6,1,1
8.30,0.61,0.30,2.10,0.0840,11.00,50.00,0.9972,3.40,0.61,10.20,6,1,1
7.80,0.50,0.30,1.90,0.0750,8.00,22.00,0.9959,3.31,0.56,10.40,6,1,1
8.10,0.55,0.18,1.90,0.0800,13.00,35.00,0.9972,3.30,0.59,9.00,6,1,1
8.10,0.58,0.22,2.10,0.0770,12.00,65.00,0.9967,3.29,0.51,9.20,5,0,0
7.20,0.49,0.24,2.20,0.0700,5.00,36.00,0.996,3.33,0.48,9.40,5,0,0
8.10,0.58,0.22,2.10,0.0770,12.00,65.00,0.9967,3.29,0.51,9.20,5,0,0
7.80,0.41,0.68,1.70,0.4670,18.00,69.00,0.9973,3.08,1.31,9.30,5,0,0
6.20,0.63,0.31,1.70,0.0880,15.00,64.00,0.9969,3.46,0.79,9.30,5,0,0
8.00,0.33,0.53,2.50,0.0910,18.00,80.00,0.9976,3.37,0.80,9.60,6,1,1
8.10,0.79,0.52,2.00,0.1220,37.00,153.00,0.9969,3.21,0.69,9.30,5,0,0
7.80,0.56,0.19,1.80,0.1040,12.00,47.00,0.9964,3.19,0.93,9.50,5,0,0
8.40,0.62,0.09,2.20,0.0840,11.00,108.00,0.9964,3.15,0.66,9.80,5,0,0
8.40,0.60,0.10,2.20,0.0850,14.00,111.00,0.9964,3.15,0.66,9.80,5,0,0
10.10,0.31,0.44,2.30,0.0800,22.00,46.00,0.9988,3.32,0.67,9.70,6,1,1
7.80,0.56,0.19,1.80,0.1040,12.00,47.00,0.9964,3.19,0.93,9.50,5,0,0
9.40,0.40,0.31,2.20,0.0900,13.00,62.00,0.9966,3.07,0.63,10.50,6,1,1
8.30,0.54,0.28,1.90,0.0770,11.00,40.00,0.9978,3.39,0.61,10.00,6,1,1
7.80,0.56,0.12,2.00,0.0820,7.00,28.00,0.9970,3.37,0.50,9.40,6,1,1
8.80,0.55,0.04,2.20,0.1190,14.00,56.00,0.9962,3.21,0.60,10.90,6,1,1
7.00,0.69,0.08,1.80,0.0970,22.00,89.00,0.9959,3.34,0.54,9.20,6,1,1
7.30,1.07,0.09,1.70,0.1780,10.00,89.00,0.9962,3.30,0.57,9.00,5,0,0
8.80,0.55,0.04,2.20,0.1190,14.00,56.00,0.9962,3.21,0.60,10.90,6,1,1
7.30,0.70,0.00,2.50,0.0750,3.00,13.00,0.9980,3.49,0.52,9.20,5,0,0
8.00,0.71,0.00,2.60,0.0800,11.00,34.00,0.9976,3.44,0.53,9.50,5,0,0
7.80,0.50,0.17,1.60,0.0820,21.00,102.00,0.9960,3.39,0.48,9.50,5,0,0
9.00,0.62,0.04,1.90,0.1460,27.00,90.00,0.9984,3.16,0.70,9.40,5,0,0
8.20,1.33,0.00,1.70,0.0810,3.00,12.00,0.9964,3.53,0.49,10.90,5,0,0
8.10,1.33,0.00,1.80,0.0820,3.00,12.00,0.9964,3.54,0.48,10.90,5,0,0
8.00,0.59,0.16,1.80,0.0650,3.00,16.00,0.9962,3.42,0.92,10.50,7,1,1
6.10,0.38,0.15,1.80,0.0720,6.00,19.00,0.9955,3.42,0.57,9.40,5,0,0
8.00,0.75,0.56,2.00,0.1180,30.00,134.00,0.9968,3.24,0.66,9.40,5,0,0
5.60,0.50,0.09,2.30,0.0490,17.00,99.00,0.9937,3.63,0.63,13.00,5,0,0
5.60,0.50,0.09,2.30,0.0490,17.00,99.00,0.9937,3.63,0.63,13.00,5,0,0
6.60,0.50,0.01,1.50,0.0600,17.00,26.00,0.9952,3.40,0.58,9.80,6,1,1
7.90,1.04,0.05,2.20,0.0840,13.00,29.00,0.9959,3.22,0.55,9.90,6,1,1
8.40,0.75,0.11,1.90,0.0900,16.00,63.00,0.9965,3.19,0.82,9.60,5,0,0
8.30,0.72,0.15,1.80,0.0890,10.00,52.00,0.9968,3.23,0.77,9.50,5,0,0
7.20,0.42,0.36,2.00,0.0810,13.00,45.00,0.9972,3.48,0.64,9.20,5,0,0
7.80,0.56,0.19,2.10,0.0810,15.00,105.00,0.9962,3.33,0.54,9.50,5,0,0
7.80,0.56,0.19,2.00,0.0810,17.00,108.00,0.9962,3.32,0.54,9.50,5,0,0
8.40,0.75,0.11,1.90,0.0900,16.00,63.00,0.9965,3.19,0.82,9.60,5,0,0
8.30,0.72,0.15,1.80,0.0890,10.00,52.00,0.9968,3.23,0.77,9.50,5,0,0
5.20,0.34,0.00,1.80,0.0500,27.00,63.00,0.9916,3.68,0.79,14.00,6,1,1
6.30,0.39,0.08,1.70,0.0660,3.00,20.00,0.9954,3.34,0.58,9.40,5,0,0
5.20,0.34,0.00,1.80,0.0500,27.00,63.00,0.9916,3.68,0.79,14.00,6,1,1
8.10,0.67,0.55,1.80,0.1170,32.00,141.00,0.9968,3.17,0.62,9.40,5,0,0
5.80,0.68,0.02,1.80,0.0870,21.00,94.00,0.9944,3.54,0.52,10.00,5,0,0
7.60,0.49,0.26,1.60,0.2360,10.00,88.00,0.9968,3.11,0.80,9.30,5,0,0
6.90,0.49,0.10,2.30,0.0740,12.00,30.00,0.9959,3.42,0.58,10.20,6,1,1
8.20,0.40,0.44,2.80,0.0890,11.00,43.00,0.9975,3.53,0.61,10.50,6,1,1
7.30,0.33,0.47,2.10,0.0770,5.00,11.00,0.9958,3.33,0.53,10.30,6,1,1
9.20,0.52,1.00,3.40,0.6100,32.00,69.00,0.9996,2.74,2.00,9.40,4,0,0
7.50,0.60,0.03,1.80,0.0950,25.00,99.00,0.9950,3.35,0.54,10.10,5,0,0
7.50,0.60,0.03,1.80,0.0950,25.00,99.00,0.9950,3.35,0.54,10.10,5,0,0
7.10,0.43,0.42,5.50,0.0700,29.00,129.00,0.9973,3.42,0.72,10.50,5,0,0
7.10,0.43,0.42,5.50,0.0710,28.00,128.00,0.9973,3.42,0.71,10.50,5,0,0
7.10,0.43,0.42,5.50,0.0700,29.00,129.00,0.9973,3.42,0.72,10.50,5,0,0
7.10,0.43,0.42,5.50,0.0710,28.00,128.00,0.9973,3.42,0.71,10.50,5,0,0
7.10,0.68,0.00,2.20,0.0730,12.00,22.00,0.9969,3.48,0.50,9.30,5,0,0
6.80,0.60,0.18,1.90,0.0790,18.00,86.00,0.9968,3.59,0.57,9.30,6,1,1
7.60,0.95,0.03,2.00,0.0900,7.00,20.00,0.9959,3.20,0.56,9.60,5,0,0
7.60,0.68,0.02,1.30,0.0720,9.00,20.00,0.9965,3.17,1.08,9.20,4,0,0
7.80,0.53,0.04,1.70,0.0760,17.00,31.00,0.9964,3.33,0.56,10.00,6,1,1
7.40,0.60,0.26,7.30,0.0700,36.00,121.00,0.9982,3.37,0.49,9.40,5,0,0
7.30,0.59,0.26,7.20,0.0700,35.00,121.00,0.9981,3.37,0.49,9.40,5,0,0
7.80,0.63,0.48,1.70,0.1000,14.00,96.00,0.9961,3.19,0.62,9.50,5,0,0
6.80,0.64,0.10,2.10,0.0850,18.00,101.00,0.9956,3.34,0.52,10.20,5,0,0
7.30,0.55,0.03,1.60,0.0720,17.00,42.00,0.9956,3.37,0.48,9.00,4,0,0
6.80,0.63,0.07,2.10,0.0890,11.00,44.00,0.9953,3.47,0.55,10.40,6,1,1
7.50,0.71,0.24,1.80,0.3600,15.00,63.00,0.9964,3.00,1.59,9.50,5,0,0
7.90,0.89,0.03,1.80,0.0580,4.00,8.00,0.9972,3.36,0.33,9.10,4,0,0
8.00,0.42,0.17,2.00,0.0730,6.00,18.00,0.9972,3.29,0.61,9.20,6,1,1
8.00,0.42,0.17,2.00,0.0730,6.00,18.00,0.9972,3.29,0.61,9.20,6,1,1
7.40,0.62,0.05,1.90,0.0680,24.00,42.00,0.9961,3.42,0.57,11.50,6,1,1
7.30,0.38,0.21,2.00,0.0800,7.00,35.00,0.9961,3.33,0.47,9.50,5,0,0
6.90,0.50,0.04,1.50,0.0850,19.00,49.00,0.9958,3.35,0.78,9.50,5,0,0
7.30,0.38,0.21,2.00,0.0800,7.00,35.00,0.9961,3.33,0.47,9.50,5,0,0
7.50,0.52,0.42,2.30,0.0870,8.00,38.00,0.9972,3.58,0.61,10.50,6,1,1
7.00,0.81,0.00,2.50,0.0680,7.00,20.00,0.9969,3.48,0.56,9.60,5,0,0
8.80,0.61,0.14,2.40,0.0670,10.00,42.00,0.9969,3.19,0.59,9.50,5,0,0
8.80,0.61,0.14,2.40,0.0670,10.00,42.00,0.9969,3.19,0.59,9.50,5,0,0
8.90,0.61,0.49,2.00,0.2700,23.00,110.00,0.9972,3.12,1.02,9.30,5,0,0
7.20,0.73,0.02,2.50,0.0760,16.00,42.00,0.9972,3.44,0.52,9.30,5,0,0
6.80,0.61,0.20,1.80,0.0770,11.00,65.00,0.9971,3.54,0.58,9.30,5,0,0
6.70,0.62,0.21,1.90,0.0790,8.00,62.00,0.9970,3.52,0.58,9.30,6,1,1
8.90,0.31,0.57,2.00,0.1110,26.00,85.00,0.9971,3.26,0.53,9.70,5,0,0
7.40,0.39,0.48,2.00,0.0820,14.00,67.00,0.9972,3.34,0.55,9.20,5,0,0
7.70,0.71,0.10,2.60,0.0840,9.00,26.00,0.9976,3.39,0.49,9.70,5,0,0
7.90,0.50,0.33,2.00,0.0840,15.00,143.00,0.9968,3.20,0.55,9.50,5,0,0
7.90,0.49,0.32,1.90,0.0820,17.00,144.00,0.9968,3.20,0.55,9.50,5,0,0
8.20,0.50,0.35,2.90,0.0770,21.00,127.00,0.9976,3.23,0.62,9.40,5,0,0
6.40,0.37,0.25,1.90,0.0740,21.00,49.00,0.9974,3.57,0.62,9.80,6,1,1
6.80,0.63,0.12,3.80,0.0990,16.00,126.00,0.9969,3.28,0.61,9.50,5,0,0
7.60,0.55,0.21,2.20,0.0710,7.00,28.00,0.9964,3.28,0.55,9.70,5,0,0
7.60,0.55,0.21,2.20,0.0710,7.00,28.00,0.9964,3.28,0.55,9.70,5,0,0
7.80,0.59,0.33,2.00,0.0740,24.00,120.00,0.9968,3.25,0.54,9.40,5,0,0
7.30,0.58,0.30,2.40,0.0740,15.00,55.00,0.9968,3.46,0.59,10.20,5,0,0
11.50,0.30,0.60,2.00,0.0670,12.00,27.00,0.9981,3.11,0.97,10.10,6,1,1
5.40,0.84,0.08,1.20,0.0460,13.00,93.00,0.9924,3.57,0.85,13.00,7,1,1
6.90,1.09,0.06,2.10,0.0610,12.00,31.00,0.9948,3.51,0.43,11.40,4,0,0
9.60,0.32,0.47,1.40,0.0560,9.00,24.00,0.9970,3.22,0.82,10.30,7,1,1
8.80,0.37,0.48,2.10,0.0970,39.00,145.00,0.9975,3.04,1.03,9.30,5,0,0
6.80,0.50,0.11,1.50,0.0750,16.00,49.00,0.9954,3.36,0.79,9.50,5,0,0
7.00,0.42,0.35,1.60,0.0880,16.00,39.00,0.9961,3.34,0.55,9.20,5,0,0
7.00,0.43,0.36,1.60,0.0890,14.00,37.00,0.9962,3.34,0.56,9.20,6,1,1
12.80,0.30,0.74,2.60,0.0950,9.00,28.00,0.9994,3.20,0.77,10.80,7,1,1
12.80,0.30,0.74,2.60,0.0950,9.00,28.00,0.9994,3.20,0.77,10.80,7,1,1
7.80,0.57,0.31,1.80,0.0690,26.00,120.00,0.9962,3.29,0.53,9.30,5,0,0
7.80,0.44,0.28,2.70,0.1000,18.00,95.00,0.9966,3.22,0.67,9.40,5,0,0
11.00,0.30,0.58,2.10,0.0540,7.00,19.00,0.9980,3.31,0.88,10.50,7,1,1
9.70,0.53,0.60,2.00,0.0390,5.00,19.00,0.9958,3.30,0.86,12.40,6,1,1
8.00,0.73,0.24,2.80,0.0830,10.00,62.00,0.9968,3.35,0.56,10.00,6,1,1
11.60,0.44,0.64,2.10,0.0590,5.00,15.00,0.9980,3.21,0.67,10.20,6,1,1
8.20,0.57,0.26,2.20,0.0600,28.00,65.00,0.9959,3.30,0.43,10.10,5,0,0
7.80,0.74,0.08,2.40,0.0920,10.00,41.00,0.9974,3.24,0.71,9.80,6,1,1
7.00,0.49,0.49,5.60,0.0600,26.00,121.00,0.9974,3.34,0.76,10.50,5,0,0
8.70,0.63,0.16,2.00,0.1010,13.00,49.00,0.9962,3.14,0.57,11.00,5,0,0
8.10,0.73,0.22,2.20,0.0720,11.00,41.00,0.9967,3.36,0.55,9.10,5,0,0
7.50,0.49,0.19,1.90,0.0760,10.00,44.00,0.9957,3.39,0.54,9.70,5,0,0
7.80,0.53,0.33,2.40,0.0800,24.00,144.00,0.9966,3.30,0.60,9.50,5,0,0
7.80,0.34,0.37,2.00,0.0820,24.00,58.00,0.9964,3.34,0.59,9.40,6,1,1
7.40,0.53,0.26,2.00,0.1010,16.00,72.00,0.9957,3.15,0.57,9.40,5,0,0
6.80,0.61,0.04,1.50,0.0570,5.00,10.00,0.9952,3.42,0.60,9.50,5,0,0
8.60,0.65,0.25,2.00,0.0830,8.00,28.00,0.9982,3.28,0.60,10.00,6,1,1
8.40,0.64,0.36,2.00,0.0890,15.00,55.00,0.9974,3.31,0.57,10.40,4,0,0
7.70,0.43,0.25,2.60,0.0730,29.00,63.00,0.9962,3.37,0.58,10.50,6,1,1
8.90,0.59,0.50,2.00,0.3370,27.00,81.00,0.9964,3.04,1.61,9.50,6,1,1
9.00,0.82,0.14,2.60,0.0890,9.00,23.00,0.9984,3.39,0.63,9.80,5,0,0
7.70,0.43,0.25,2.60,0.0730,29.00,63.00,0.9962,3.37,0.58,10.50,6,1,1
6.90,0.52,0.25,2.60,0.0810,10.00,37.00,0.9968,3.46,0.50,11.00,5,0,0
5.20,0.48,0.04,1.60,0.0540,19.00,106.00,0.9927,3.54,0.62,12.20,7,1,1
8.00,0.38,0.06,1.80,0.0780,12.00,49.00,0.9962,3.37,0.52,9.90,6,1,1
8.50,0.37,0.20,2.80,0.0900,18.00,58.00,0.9980,3.34,0.70,9.60,6,1,1
6.90,0.52,0.25,2.60,0.0810,10.00,37.00,0.9968,3.46,0.50,11.00,5,0,0
8.20,1.00,0.09,2.30,0.0650,7.00,37.00,0.9968,3.32,0.55,9.00,6,1,1
7.20,0.63,0.00,1.90,0.0970,14.00,38.00,0.9968,3.37,0.58,9.00,6,1,1
7.20,0.63,0.00,1.90,0.0970,14.00,38.00,0.9968,3.37,0.58,9.00,6,1,1
7.20,0.65,0.00,1.90,0.0970,15.00,39.00,0.9968,3.37,0.58,9.20,6,1,1
7.20,0.63,0.00,1.90,0.0970,14.00,38.00,0.9968,3.37,0.58,9.00,6,1,1
8.20,1.00,0.09,2.30,0.0650,7.00,37.00,0.9968,3.32,0.55,9.00,6,1,1
8.90,0.64,0.37,1.70,0.2630,5.00,62.00,0.9971,3.00,1.09,9.30,5,0,0
12.00,0.38,0.56,2.10,0.0930,6.00,24.00,0.9992,3.14,0.71,10.90,6,1,1
7.70,0.58,0.10,1.80,0.1020,28.00,109.00,0.9956,3.08,0.49,9.80,6,1,1
15.00,0.21,0.44,2.20,0.0750,10.00,24.00,1.0001,3.07,0.84,9.20,7,1,1
15.00,0.21,0.44,2.20,0.0750,10.00,24.00,1.0001,3.07,0.84,9.20,7,1,1
7.30,0.66,0.00,2.00,0.0840,6.00,23.00,0.9983,3.61,0.96,9.90,6,1,1
7.10,0.68,0.07,1.90,0.0750,16.00,51.00,0.9968,3.38,0.52,9.50,5,0,0
8.20,0.60,0.17,2.30,0.0720,11.00,73.00,0.9963,3.20,0.45,9.30,5,0,0
7.70,0.53,0.06,1.70,0.0740,9.00,39.00,0.9962,3.35,0.48,9.80,6,1,1
7.30,0.66,0.00,2.00,0.0840,6.00,23.00,0.9983,3.61,0.96,9.90,6,1,1
10.80,0.32,0.44,1.60,0.0630,16.00,37.00,0.9985,3.22,0.78,10.00,6,1,1
7.10,0.60,0.00,1.80,0.0740,16.00,34.00,0.9972,3.47,0.70,9.90,6,1,1
11.10,0.35,0.48,3.10,0.0900,5.00,21.00,0.9986,3.17,0.53,10.50,5,0,0
7.70,0.78,0.42,1.90,0.0920,8.00,86.00,0.9959,3.23,0.59,9.50,5,0,0
7.10,0.60,0.00,1.80,0.0740,16.00,34.00,0.9972,3.47,0.70,9.90,6,1,1
8.00,0.57,0.23,3.20,0.0730,17.00,119.00,0.9968,3.26,0.57,9.30,5,0,0
9.40,0.34,0.37,2.20,0.0750,5.00,13.00,0.9980,3.22,0.62,9.20,5,0,0
6.60,0.70,0.00,2.10,0.0750,12.00,56.00,0.9968,3.49,0.67,9.20,5,0,0
7.70,0.41,0.76,1.80,0.6110,8.00,45.00,0.9968,3.06,1.26,9.40,5,0,0
10.00,0.31,0.47,2.60,0.0850,14.00,33.00,0.9996,3.36,0.80,10.50,7,1,1
7.90,0.33,0.23,1.70,0.0770,18.00,45.00,0.9962,3.29,0.65,9.30,5,0,0
7.00,0.98,0.04,2.00,0.0870,12.00,67.00,0.9956,3.35,0.60,9.40,4,0,0
8.00,0.52,0.03,1.70,0.0700,10.00,35.00,0.9958,3.34,0.57,10.00,5,0,0
7.90,0.37,0.23,1.80,0.0770,23.00,49.00,0.9963,3.28,0.67,9.30,5,0,0
12.50,0.56,0.49,2.40,0.0640,5.00,27.00,0.9999,3.08,0.87,10.90,5,0,0
11.80,0.26,0.52,1.80,0.0710,6.00,10.00,0.9968,3.20,0.72,10.20,7,1,1
